Country,Year,Value
Albania,1984,2.694291374
Albania,1983,2.683239919
Albania,1982,2.624856785
Albania,1981,2.693023914
Albania,1980,1.93505831
Albania,1979,2.898208518
Albania,1978,2.53062504
Albania,1977,2.275876391
Albania,1976,2.013584562
Albania,1975,1.910633637
Albania,1974,1.849006691
Albania,1973,2.303897417
Albania,1972,2.515914398
Albania,1971,1.989497923
Albania,1970,1.753239905
Albania,1969,1.558967572
Albania,1968,1.519551277
Albania,1967,1.3637463
Albania,1966,1.333055465
Albania,1965,1.166099043
Albania,1964,1.11174196
Albania,1963,1.181681144
Albania,1962,1.439955964
Albania,1961,1.374186047
Albania,1960,1.258194928
Algeria,2011,3.316037892
Algeria,2010,3.309911831
Algeria,2009,3.428471639
Algeria,2008,3.205182841
Algeria,2007,3.189978037
Algeria,2006,2.990267154
Algeria,2005,3.220154559
Algeria,2004,2.727017138
Algeria,2003,2.856410052
Algeria,2002,2.840027912
Algeria,2001,2.668327798
Algeria,2000,2.819778007
Algeria,1999,2.994118743
Algeria,1998,3.529699396
Algeria,1997,2.950878349
Algeria,1996,3.302462522
Algeria,1995,3.298667223
Algeria,1994,3.049884255
Algeria,1993,2.961739082
Algeria,1992,3.014447082
Algeria,1991,3.05865541
Algeria,1990,3.045837153
Algeria,1989,3.169213147
Algeria,1988,3.413726487
Algeria,1987,3.517073769
Algeria,1986,3.281974148
Algeria,1985,3.22549764
Algeria,1984,3.247629232
Algeria,1983,2.479009
Algeria,1982,1.908557235
Algeria,1981,2.328502978
Algeria,1980,3.439876556
Algeria,1979,2.43173222
Algeria,1978,3.43337072
Algeria,1977,2.368082096
Algeria,1976,2.278671101
Algeria,1975,1.916994263
Algeria,1974,1.963829943
Algeria,1973,2.424182387
Algeria,1972,1.843623714
Algeria,1971,1.247898294
Algeria,1970,1.036082667
Algeria,1969,0.797205643
Algeria,1968,0.659262551
Algeria,1967,0.632118427
Algeria,1966,0.649480608
Algeria,1965,0.522448527
Algeria,1964,0.459568917
Algeria,1963,0.452824458
Algeria,1962,0.48495366
Algeria,1961,0.531809994
Algeria,1960,0.553763578
Andorra,2011,5.96868547
Andorra,2010,6.12477049
Andorra,2009,6.049172848
Andorra,2008,6.296124556
Andorra,2007,6.350868305
Andorra,2006,6.553476545
Andorra,2005,7.088127747
Andorra,2004,7.208828523
Andorra,2003,7.159140446
Andorra,2002,7.484094812
Andorra,2001,7.73765678
Andorra,2000,8.018180706
Andorra,1999,8.001433893
Andorra,1998,7.576446281
Andorra,1997,7.145696603
Andorra,1996,6.616353766
Andorra,1995,6.374494942
Angola,2011,1.35400753
Angola,2010,1.401654169
Angola,2009,1.430873373
Angola,2008,1.369424769
Angola,2007,1.311096483
Angola,2006,1.200877147
Angola,2005,1.069417185
Angola,2004,1.086604897
Angola,2003,0.543083667
Angola,2002,0.786223278
Angola,2001,0.625351712
Angola,2000,0.633625299
Angola,1999,0.627072296
Angola,1998,0.515117027
Angola,1997,0.5348313
Angola,1996,0.781484777
Angola,1995,0.844305988
Angola,1994,0.307601078
Angola,1993,0.473691138
Angola,1992,0.372921412
Angola,1991,0.380694834
Angola,1990,0.398075822
Angola,1989,0.462907837
Angola,1988,0.486503528
Angola,1987,0.565431153
Angola,1986,0.464973712
Angola,1985,0.482400531
Angola,1984,0.530351031
Angola,1983,0.560374447
Angola,1982,0.527930763
Angola,1981,0.621382804
Angola,1980,0.651061684
Angola,1979,0.692097154
Angola,1978,0.701359921
Angola,1977,0.471248794
Angola,1976,0.450116912
Angola,1975,0.621198891
Angola,1974,0.703873436
Angola,1973,0.723055043
Angola,1972,0.684120294
Angola,1971,0.529744961
Angola,1970,0.568588577
Angola,1969,0.451125604
Angola,1968,0.275655471
Angola,1967,0.166658589
Angola,1966,0.265164146
Angola,1965,0.206088959
Angola,1964,0.216174133
Angola,1963,0.206877061
Angola,1962,0.216025343
Angola,1961,0.084718406
Angola,1960,0.104357101
Antigua and Barbuda,2011,5.823804338
Antigua and Barbuda,2010,6.011268671
Antigua and Barbuda,2009,5.906292005
Antigua and Barbuda,2008,5.628318688
Antigua and Barbuda,2007,5.561524699
Antigua and Barbuda,2006,5.096289552
Antigua and Barbuda,2005,4.974311149
Antigua and Barbuda,2004,4.980995619
Antigua and Barbuda,2003,4.804484327
Antigua and Barbuda,2002,4.536211421
Antigua and Barbuda,2001,4.364812845
Antigua and Barbuda,2000,4.439238615
Antigua and Barbuda,1999,4.581278521
Antigua and Barbuda,1998,4.49690052
Antigua and Barbuda,1997,4.670561524
Antigua and Barbuda,1996,4.593864332
Antigua and Barbuda,1995,4.721298044
Antigua and Barbuda,1994,4.683621337
Antigua and Barbuda,1993,4.692005303
Antigua and Barbuda,1992,4.566841126
Antigua and Barbuda,1991,4.641623406
Antigua and Barbuda,1990,4.85726747
Antigua and Barbuda,1989,4.615779366
Antigua and Barbuda,1988,4.57363523
Antigua and Barbuda,1987,4.332193939
Antigua and Barbuda,1986,3.859701262
Antigua and Barbuda,1985,3.792832806
Antigua and Barbuda,1984,2.193739437
Antigua and Barbuda,1983,1.24107537
Antigua and Barbuda,1982,4.254677302
Antigua and Barbuda,1981,1.524630824
Antigua and Barbuda,1980,2.034295387
Antigua and Barbuda,1979,5.769237311
Antigua and Barbuda,1978,6.969109888
Antigua and Barbuda,1977,6.631858508
Antigua and Barbuda,1976,5.780430484
Antigua and Barbuda,1975,10.21949952
Antigua and Barbuda,1974,6.249202534
Antigua and Barbuda,1973,4.855381628
Antigua and Barbuda,1972,5.565568038
